NAME;AGE;SLEEPHOURS;IDNUMBER;GENDER;EFFECTIVENESS;CITY
Beatriz Girón Salinas;2;7;152-98-4729;F;0;Bristol
Emilia Guevara Sosa;36;2;548-66-9233;F;50;Bristol
Sr. José Melgar Santana;13;1;019-46-9362;M;80;London
Sra. María Cristina Aguirre Vega;90;5;298-70-9391;M;0;London
Horacio Cervántez Serrato;60;10;468-59-6980;F;100;Glasgow
Julia Guzmán Agosto;26;8;228-36-2349;F;100;London
Julia Urías Mondragón;13;4;227-87-3589;F;80;Liverpool
Sta. Alicia Valdés Curiel;9;3;099-55-9318;F;50;Liverpool
Gerardo Meraz Saiz;90;6;588-44-9331;F;0;Oxford
Sta. Rosa Rincón Romero;50;8;574-78-4588;F;80;London
Alejandra Valdivia Mata;14;3;611-98-8103;F;0;Glasgow
Sta. Ángela Cerda Santacruz;85;2;675-43-3591;F;100;Oxford
Jaime Rosario Godoy;26;4;231-27-3122;F;0;Glasgow
Lorena Acevedo Villaseñor;54;1;487-68-5194;F;100;Liverpool
Ariadna Tello Díaz;49;1;313-13-6469;M;100;Bristol
Elisa Terán Perea;8;3;730-43-9599;M;100;Glasgow
Gustavo Santacruz Gonzales;38;8;500-15-8822;M;80;Bristol
Octavio Cervántez Collado;40;8;518-64-4087;M;80;Liverpool
Sta. Ignacio Tejeda Henríquez;83;10;682-50-1187;F;50;Glasgow
Francisco Mascareñas Quintanilla;81;7;286-30-8619;M;80;Glasgow
Luis Tamayo Quiñónez;66;7;446-06-3148;F;80;London
Sra. Sofia Vélez Camarillo;19;6;628-67-3991;M;100;London
Esteban Rodríquez Escalante;45;9;558-24-8480;F;100;Bristol
Rosa Velasco Figueroa;5;1;244-73-1413;F;50;Glasgow
Margarita Abreu Guevara;67;8;451-44-5349;F;50;Oxford
Sra. Esteban Serna Otero;85;4;688-21-9043;M;0;Oxford
Luis Leal Córdova;85;2;598-11-9695;F;50;Glasgow
Agustín Puga Alanis;26;10;051-41-6610;M;100;Bristol
Alejandro Flores Corona;57;6;697-79-1745;F;80;Bristol
Mario Gutiérrez Heredia;13;4;439-63-6750;F;0;Glasgow
José María Verdugo Trujillo;44;5;574-63-7826;F;50;London
Alejandra Calderón Hurtado;42;9;172-47-3330;M;100;Glasgow
Sra. Barbara Acevedo Duran;63;4;436-30-3034;M;80;Glasgow
Ariadna Nieves Altamirano;83;3;386-59-9231;M;80;Liverpool
Elsa Ocampo Carranza;7;4;017-07-6532;F;0;Liverpool
Sta. Conchita Abeyta Borrego;46;7;044-28-8957;F;0;Glasgow
María Eugenia Aragón Angulo;71;4;531-35-6856;M;100;Bristol
Sr. Ana María Carrillo Munguía;25;6;612-89-4420;F;50;London
Ricardo Aragón Espinoza;69;1;397-74-6129;F;100;London
Olivia Baca Becerra;34;4;514-81-7841;M;80;Oxford
Leonor Zamudio Pagan;4;7;627-39-6076;M;0;Bristol
Ernesto Caballero Adame;83;8;624-43-4716;M;0;Bristol
Sr. Mariano Sauceda Herrera;83;9;271-64-5905;M;0;Bristol
Sta. Jerónimo Guajardo Girón;84;8;440-11-4201;F;100;Bristol
Luis Miguel Ruiz Montero;38;7;888-11-0496;F;0;London
Germán Armenta Robles;45;4;820-05-3771;M;50;Liverpool
Manuel Raya Cisneros;10;1;090-57-6767;M;80;London
Elena Ruiz Jasso;5;10;027-14-7505;M;80;Glasgow
Rodrigo Barrera Ceballos;84;10;691-15-0720;M;50;Bristol
María José Rolón Huerta;84;5;561-54-0507;M;0;Liverpool
Alicia Godoy Vásquez;6;5;628-05-2417;F;100;Glasgow
Sra. Ignacio Alba Pacheco;89;2;434-80-7769;F;80;Oxford
Cristina Gaona Amador;53;9;509-13-3534;F;100;Bristol
Sta. Alejandro Madrigal Maya;58;4;010-26-8086;F;0;Oxford
Sra. Benito Zaragoza Delacrúz;57;6;203-59-2481;M;0;Bristol
Dorotea Téllez Montemayor;51;1;081-23-9930;F;50;Bristol
Hernán Treviño Ozuna;29;3;149-14-4468;M;50;Oxford
Miguel Piña Carranza;80;3;884-42-8186;M;0;Liverpool
David Apodaca Saiz;37;7;823-02-4796;F;50;London
Raquel Aparicio Mayorga;3;7;612-89-0702;M;100;Oxford
Sra. María del Carmen Casillas Casas;8;6;795-29-7926;F;100;London
Verónica Carbajal Beltrán;7;3;646-31-6394;F;50;London
Sra. Elsa Cantú Espinosa;33;1;795-44-5828;F;50;Bristol
Ramona Mata Dueñas;24;3;700-23-4353;F;100;Liverpool
Cristobal Márquez Rodríguez;82;10;826-40-0317;M;0;Oxford
Sta. Elena Saldivar Reyes;18;3;605-50-5141;M;0;Glasgow
Bernardo Hinojosa Alba;29;1;153-18-4366;F;80;London
Sra. Micaela Solano Salcedo;7;8;734-09-9367;F;100;Bristol
Lorena Cortés Cerda;89;5;222-47-7278;M;80;Glasgow
Ana María de Jesús Atencio;36;2;846-10-3880;M;80;London
Sta. Lorena Centeno Rolón;23;5;190-42-4996;F;50;Glasgow
Rocio Heredia Montes;20;7;852-73-7211;F;80;Glasgow
Sra. Lilia Tórrez Vásquez;17;6;816-88-6000;M;80;Liverpool
Norma Tapia Magaña;42;9;861-69-2855;F;80;Liverpool
Benjamín Palomo Loya;87;9;614-67-5126;M;50;London
Armando Parra Colón;89;8;555-92-7047;F;80;Glasgow
José Emilio Saiz Salazar;23;8;811-96-3037;F;100;Liverpool
Sta. Juana Casas Botello;35;1;569-74-5252;M;100;London
Tomás Malave Aguayo;65;5;896-89-5252;M;0;London
Alejandro Anaya Delacrúz;33;4;798-36-1850;F;80;Liverpool
Patricio Madrid Burgos;67;7;344-04-8077;F;100;Glasgow
Sra. Guillermina Prieto Castillo;28;8;453-53-2250;F;50;Oxford
Guadalupe Crespo Roldán;62;4;273-91-4703;M;80;Glasgow
Sergio Benavídez Cisneros;84;3;483-40-1317;F;0;Oxford
Sta. Rosa Haro Limón;44;8;635-37-4625;M;100;Glasgow
Jaime Cotto Altamirano;13;1;121-87-5393;M;100;Bristol
Leticia Velázquez Ornelas;18;2;008-28-1850;M;80;Liverpool
Raúl Zúñiga Verduzco;34;10;832-11-5802;F;50;London
Sra. Óscar Casillas Quintana;73;5;832-84-1074;F;100;Liverpool
José Emilio Reyes Botello;18;9;626-62-1371;F;0;London
Carla Torres Lerma;54;10;057-05-8351;M;80;Glasgow
Teodoro Villagómez Montalvo;24;10;060-66-8692;M;100;Oxford
Hernán Becerra Monroy;46;3;732-62-0031;M;0;London
Octavio Nieto Gómez;40;2;585-60-0120;F;0;Glasgow
Norma Botello Cortez;42;1;763-71-7433;M;50;Glasgow
Sr. Virginia de Jesús Santana;81;7;686-42-8122;F;0;Liverpool
Magdalena Almanza Benavides;81;6;472-94-4001;F;100;Glasgow
Carolina Saavedra Gaitán;42;6;596-07-9302;M;80;Bristol
Alfredo Delafuente Garay;58;4;815-11-4060;F;50;Liverpool
Sta. Sonia Amaya Menchaca;90;3;088-68-4961;F;0;London
Ariadna Monroy Meza;48;7;520-68-3809;F;0;Liverpool
Martín Barrientos Llamas;7;10;263-86-0104;M;100;London
Carolina Madrigal Holguín;83;5;500-49-7574;M;0;Bristol
Adán Malave Márquez;78;6;320-21-0115;F;80;Bristol
Teodoro Cuellar Arce;84;6;513-41-8218;F;0;Bristol
Anita Barragán Anaya;33;1;802-54-4554;F;80;Liverpool
Emilio Delatorre Castro;58;9;884-36-3009;F;50;Liverpool
Sra. Concepción Espino Villegas;83;1;370-71-7521;M;0;Bristol
Sta. Marta Bahena Barrientos;82;9;241-47-9539;F;0;Bristol
José Luis Muñoz Almanza;40;8;574-47-7311;M;0;Oxford
Elisa Jimínez Morales;41;2;177-43-4215;M;0;Bristol
Bernardo Puga Valentín;20;7;655-30-6318;M;50;Glasgow
Diana Orta Tafoya;76;3;643-36-2422;M;0;Bristol
Marcos Venegas Linares;5;5;078-85-7972;M;0;Glasgow
Rubén Guevara Jáquez;43;9;802-87-3725;M;100;Glasgow
Raquel Leyva Urías;40;10;853-49-5500;M;0;Glasgow
Sta. Cristina Anguiano Santana;47;3;279-60-5021;F;50;Bristol
Sta. Jesús Gurule Delatorre;5;5;407-51-9144;M;0;Bristol
Sr. Olivia Limón Delatorre;87;2;830-46-1704;M;0;Bristol
Sara Velásquez Gurule;9;2;092-81-9930;F;80;London
Sra. Rebeca Valverde Narváez;31;6;295-38-3692;F;100;Liverpool
Lorenzo Huerta Cotto;6;7;153-80-7767;M;50;London
María Luisa Lara Espinal;15;4;001-15-5555;F;50;Glasgow
Sta. Ramón Delafuente Acevedo;29;10;490-28-7461;M;0;Oxford
Marilu Guillen Cisneros;28;9;546-86-0620;F;100;Bristol
Sra. Lucas Gálvez Gil;85;9;705-14-0027;F;0;Bristol
Alejandra Escobedo Suárez;74;2;487-42-1747;M;0;Bristol
Sra. Sonia Ruelas Haro;68;6;611-05-5312;M;50;Glasgow
Gabriela Rosales Loya;19;3;139-87-2888;M;80;Bristol
Salvador Casanova Matos;31;10;060-94-8541;M;100;Oxford
Elvira Jaramillo Solorio;43;2;080-84-8058;M;0;Bristol
Blanca Gil Santana;3;1;060-73-1196;M;0;Oxford
Bernardo Concepción Ortiz;41;10;765-36-2392;M;100;Oxford
Ricardo Gracia Adorno;9;10;311-44-2437;F;100;Liverpool
Mariana Avilés Serrano;26;6;819-23-6006;M;100;Bristol
Ramiro Segura Benavídez;3;9;513-08-8499;M;100;Oxford
Silvia Lomeli Casares;83;10;005-23-9760;F;100;Oxford
Jerónimo Sáenz Zavala;17;1;151-41-4240;M;80;Bristol
Jaime Segura Puga;63;5;206-07-9490;M;80;Glasgow
Sr. Marco Antonio Páez Acuña;53;2;535-91-7085;M;0;Liverpool
Rosario Alaniz Hinojosa;2;4;351-04-2152;M;0;Oxford
Fernando Gaytán Canales;55;2;297-68-3819;M;80;London
María Luisa Villalpando Montemayor;50;6;619-96-2268;F;50;Oxford
Sta. María Luisa Ríos Soto;74;7;456-36-0311;F;80;Glasgow
Víctor Núñez Ramón;87;10;420-22-6668;M;0;Bristol
Roberto Lomeli Barrios;80;10;485-70-8549;F;50;Liverpool
Sta. Lucia Terán Villaseñor;34;3;092-91-5210;M;0;Bristol
Sra. Elena Montañez Valdés;13;9;251-21-0023;M;100;London
Claudio Reyna Anaya;71;3;238-83-4001;F;100;Bristol
Sra. María Soledad Osorio Villanueva;1;7;863-05-9417;M;0;Oxford
Margarita Tovar Macías;44;9;275-39-2371;F;50;Glasgow
Luis Ulloa Zelaya;65;8;172-62-4938;F;80;London
Mariano Carmona Becerra;22;7;355-34-4450;M;80;Oxford
Esteban Mesa Lucero;12;2;866-29-3156;F;0;Oxford
Marta Barragán Trejo;40;5;597-35-3982;M;0;Liverpool
Sra. Rodrigo Uribe Aragón;6;10;453-79-6906;M;100;Liverpool
Sr. Diana Collazo Polanco;21;2;472-90-6895;M;100;Glasgow
Isabela de Anda Romero;15;3;439-01-0154;M;100;Liverpool
Cristian Rentería Velásquez;65;9;445-69-0175;M;50;London
Martín Jimínez Bustos;23;9;705-52-8594;F;0;London
Concepción Canales Monroy;89;1;206-73-0833;F;100;Glasgow
Sra. Enrique Zúñiga Gaitán;84;3;699-17-7010;F;80;Oxford
Tomás Villegas Armenta;7;3;054-12-1232;M;80;Glasgow
Sta. Isabela Valverde González;17;5;455-44-9901;M;50;Oxford
Samuel Tovar Anaya;5;9;550-65-7328;M;50;Bristol
Sta. Roberto Saiz Sánchez;9;5;811-52-8923;F;0;Glasgow
Francisco Domínguez Castro;24;1;214-48-8122;M;80;London
Sr. Teresa Chavarría Puga;27;1;029-56-9719;F;0;Bristol
Elsa Mireles Avilés;5;10;464-45-2569;M;50;Glasgow
José María Adorno Nava;15;7;795-72-7535;F;50;Liverpool
Sra. Ángela Ibarra Holguín;41;6;559-05-6869;F;50;Oxford
Sancho Acevedo Salas;81;5;821-49-1007;M;0;Oxford
Sara Miranda Anguiano;4;9;361-49-0138;M;100;Liverpool
Horacio Gálvez Tejeda;41;1;087-06-9633;M;80;Glasgow
Jorge Ledesma Malave;6;2;226-29-7020;F;0;Glasgow
Victoria Corrales Santillán;82;2;798-92-6485;F;50;Glasgow
Irene Delarosa Quiñónez;2;2;271-47-7738;M;100;Bristol
Marcos Aponte Velásquez;30;2;762-45-1287;F;0;London
Amalia Jasso Lara;12;2;571-49-0512;F;80;Bristol
Sra. Isabel Sosa Galindo;14;3;697-01-6338;M;100;London
Lorenzo Escobedo Perea;42;2;369-09-3516;M;100;Glasgow
Reina Guerrero Valverde;86;2;517-65-9083;M;80;Bristol
Ana María Bueno Girón;7;1;593-96-9288;F;100;London
Ariadna Yáñez Meraz;46;9;483-27-2111;M;50;Glasgow
Marisol Segura Sandoval;36;10;077-33-3438;M;100;Glasgow
Florencia Marroquín Hernandes;82;5;229-18-2650;F;80;Glasgow
Sra. Elsa López Valles;48;6;354-99-3942;F;0;Liverpool
Manuela Castellanos Atencio;76;2;716-03-9543;M;80;Glasgow
Óscar Castellanos Vergara;70;4;277-22-7437;F;100;London
Lucas Valverde Aguirre;26;2;716-44-4159;F;50;Bristol
Sergio Armijo Arguello;5;1;020-62-5030;M;0;Liverpool
Guadalupe Caballero Orta;60;9;086-68-0005;F;0;Glasgow
Luis Miguel Delvalle Zamudio;9;2;489-55-0870;F;50;Bristol
Emilia Cano Cotto;27;8;867-62-1329;M;100;Glasgow
Sr. José Tello García;7;3;084-66-7611;M;100;Bristol
Ignacio Meza Carbajal;62;3;710-49-6664;F;0;Glasgow
José Emilio Girón Laureano;7;4;688-78-9092;F;0;London
Manuel Jaramillo Osorio;81;8;333-04-0449;F;0;London
Rafael Mota Delagarza;25;6;593-73-9089;M;50;Glasgow
José Figueroa Peña;14;9;475-66-1023;F;50;London
Arturo Delarosa Nieto;1;6;800-27-4612;M;100;Oxford
Dorotea Delacrúz Sánchez;72;1;621-36-3281;M;0;Bristol
Virginia Ybarra Mateo;11;5;324-26-8554;M;100;London
Sta. Salvador Delagarza Cardona;30;2;603-02-0336;F;100;Oxford
María José Mojica Serna;72;6;880-46-1558;M;80;Oxford
Rebeca Covarrubias Adorno;21;4;736-70-1059;F;80;Oxford
Alfonso Véliz Guajardo;7;4;854-82-0667;M;0;Oxford
Mayte Delarosa Solorzano;44;6;271-50-8133;M;0;Liverpool
Alejandro Magaña Reséndez;72;9;219-82-6355;M;50;Liverpool
Roberto Castillo Escamilla;85;3;442-02-3272;F;0;Bristol
Lola Flores Colunga;15;5;248-47-5238;F;50;Oxford
Luz Padilla Rosales;34;4;365-58-7317;M;80;Glasgow
Carla Rodrígez Cabán;59;3;703-82-2989;F;0;Bristol
Antonia Riojas Miramontes;88;8;170-38-4070;M;0;Oxford
Rodrigo Rentería Rivas;85;8;683-13-0004;M;0;London
Horacio Matías Leyva;56;1;798-13-9469;F;0;Bristol
Leonor Chavarría Paredes;16;6;578-16-2159;M;80;London
Caridad Delao Monroy;50;2;106-21-1786;M;0;Oxford
Cecilia Razo Madrid;42;4;472-74-9020;F;100;Glasgow
Inés Roque Jasso;82;4;310-55-3348;M;50;Glasgow
Laura Tafoya Valadez;34;5;324-98-7574;M;0;Liverpool
Emilio Sosa Rodrígez;66;9;355-85-4972;F;100;Liverpool
Claudia Pineda Rangel;52;4;436-77-2939;M;0;Oxford
Sta. Andrés Prado Peña;13;6;810-74-2965;M;0;Glasgow
Javier Gaona Esquibel;17;7;247-81-6858;F;50;Oxford
Olivia Polanco Esquibel;38;4;342-18-3154;F;50;Liverpool
Sta. Alejandra Pelayo Saldivar;1;5;768-96-5577;M;100;Oxford
José Emilio Guajardo Ramón;2;9;148-32-9332;F;0;Oxford
María José Nájera Saldivar;63;3;498-94-3421;F;0;Liverpool
Sra. Lola Rolón Curiel;23;2;606-95-9370;M;50;Liverpool
Miguel Ontiveros Bustos;57;8;166-31-8011;M;0;Oxford
Catalina Amaya Téllez;49;8;126-92-1583;M;0;Oxford
Sta. Felipe Nazario Tijerina;13;1;445-21-7732;M;50;Liverpool
María Teresa Estrada Salcedo;85;1;504-06-1011;M;0;Liverpool
Reina Rael Acosta;26;9;234-68-5114;F;0;Glasgow
Sta. Claudio Bermúdez Rincón;12;1;086-94-8394;M;0;Glasgow
Ignacio Cruz Corral;63;4;633-60-3571;F;0;London
Marta Rojas Bañuelos;12;1;473-92-0142;M;80;Bristol
José Mojica Delvalle;13;1;537-94-4456;M;50;Oxford
Mónica Cornejo Franco;26;5;344-55-3387;M;0;Bristol
Felipe Fonseca Archuleta;51;3;542-76-7414;F;80;Liverpool
David Romo Arreola;16;6;251-50-5706;M;80;Liverpool
Rosalia Carrero Correa;41;4;121-30-1074;F;50;Glasgow
Carmen Acevedo Girón;84;10;434-91-1962;F;0;Bristol
Benito Crespo Mercado;16;4;717-48-2637;M;50;Oxford
Gonzalo Cotto Nieves;85;3;777-75-8148;F;100;Glasgow
Sra. Gerardo Manzanares Delatorre;86;2;008-05-6632;M;80;Oxford
Arturo Vega Raya;83;2;417-35-3078;F;0;Oxford
Carlota Puga Zamora;53;8;145-24-4337;M;0;Oxford
José Valenzuela Baeza;9;5;363-44-1416;M;0;Oxford
Sancho Rivero Corral;76;8;183-64-3700;M;80;Oxford
Germán Frías Matos;53;3;786-86-8302;F;50;Glasgow
Sr. Julio Zamora Chavarría;60;9;517-86-3118;F;0;Oxford
Blanca Solorio Ávila;78;8;870-56-9079;F;100;London
Elvira Posada Marrero;87;9;346-09-5706;F;0;Liverpool
Guillermo Salgado Colón;4;4;851-80-5946;F;100;Glasgow
Ramón Adorno Cavazos;24;1;605-72-8102;F;80;London
Alicia Cavazos Longoria;44;8;599-17-1291;F;0;Liverpool
Guillermo Alejandro Gurule;79;2;836-34-7097;M;100;Glasgow
Mateo Nieto Jasso;44;5;888-02-4779;F;50;Oxford
Jorge Luis Serna Malave;25;7;760-50-2372;F;100;London
Gloria Nazario Botello;14;2;134-14-8416;M;0;Liverpool
Marilu Cordero Roybal;86;10;676-37-6745;F;80;Glasgow
Mercedes Corral Aguirre;64;10;485-09-2663;M;80;Liverpool
Inés Rodríquez Ruiz;90;8;647-16-4504;F;0;Glasgow
Eloisa Salcedo Juárez;77;4;441-86-2219;F;100;Liverpool
Sta. Marcela Quesada Cavazos;46;6;123-50-1757;M;80;Bristol
Jaime Barreto Anaya;37;3;607-78-0421;F;50;London
Gustavo Sotelo Garay;69;7;256-80-2788;F;0;Bristol
Sonia Garza Beltrán;88;6;082-20-6435;F;0;London
Miguel Ángel Carrera Ramón;87;8;420-25-2112;M;50;Oxford
Tomás Luna Granado;37;9;160-16-2475;F;50;Glasgow
José María Brito Longoria;5;6;139-57-3003;M;100;Glasgow
Sta. Josefina Alfaro Sánchez;55;9;799-80-0555;F;50;Bristol
Elsa Espino Apodaca;58;7;509-49-2684;M;80;London
Maricarmen Arreola Bonilla;9;9;564-90-4427;F;0;Glasgow
Sr. Luisa Bermúdez Perea;23;5;740-60-2173;F;0;Liverpool
Sra. Adriana Cavazos Adame;50;6;751-02-9504;M;80;Glasgow
Yolanda Quezada Alonzo;82;9;376-95-4140;M;100;Glasgow
Luis Miguel Armijo Alcala;52;3;623-62-2030;M;100;London
Sra. Francisca Armas Ornelas;15;1;864-85-9483;F;80;Glasgow
Alicia Tello Ochoa;41;7;145-94-0619;M;50;Glasgow
Claudio Reyes Pizarro;83;1;396-41-0911;F;0;London
Sra. Juana Delacrúz Lozano;10;9;229-88-4275;M;100;Oxford
Sr. Miguel Ángel Anguiano Bustamante;23;10;532-39-0838;F;0;Oxford
Ramón Trujillo Yáñez;1;6;412-21-1848;M;100;Glasgow
Alfredo Baca Sauceda;12;4;117-19-8075;F;50;Liverpool
Ramiro Uribe Saldaña;16;7;225-54-7669;F;50;Liverpool
Ana Carbajal Griego;26;6;138-22-5906;M;100;Bristol
Sra. Óscar Barrientos Castañeda;25;2;088-16-1990;M;50;Glasgow
Sta. Alfonso Crespo Juárez;87;10;089-73-5440;M;100;Glasgow
Arturo Loya Viera;44;1;362-34-0738;M;0;Glasgow
Adela Canales Camacho;86;8;458-61-1046;M;0;Bristol
Mariano Caballero Cintrón;34;7;705-46-4413;M;100;Bristol
Cristian Delatorre Muñoz;88;7;037-98-8932;M;50;Glasgow
Carmen Morales Zavala;20;8;104-25-4541;M;50;London
Esteban Mares Nieves;1;5;741-13-5680;F;50;Glasgow
Guadalupe Ortega Ramón;62;6;602-35-3731;F;80;Oxford
María Cristina Brito Maya;24;1;143-44-4268;F;50;Oxford
Sr. Teodoro Rincón Reséndez;44;10;388-90-8538;M;0;Bristol
Sra. Juan Viera Almaraz;30;7;468-24-2600;F;0;Glasgow
Carla Mejía Páez;44;8;745-15-3214;F;100;Bristol
Graciela Cotto Navarrete;8;7;321-16-0368;M;80;Liverpool
Gabriel Pantoja Feliciano;31;6;846-58-2629;F;80;Glasgow
Concepción Esquivel Solís;3;6;329-06-0200;F;80;Glasgow
María Cristina Pedraza Romero;86;8;866-85-7035;M;0;Liverpool
Sonia Colón Pulido;54;4;238-69-6666;M;80;London
Sta. Jesús Barrios Becerra;28;10;704-29-7563;F;80;Liverpool
Mayte Corrales Aguilera;13;4;210-52-8605;M;0;Bristol
Verónica Abrego Elizondo;20;6;090-79-8135;F;100;Liverpool
Armando Negrón Salgado;25;2;049-37-4649;M;50;London
Amalia Madrigal Cadena;16;9;137-27-2379;F;100;Bristol
Mayte Hinojosa García;87;7;467-78-4949;M;100;Glasgow
Catalina Zelaya Gonzales;88;8;185-21-1465;F;50;Oxford
Lorena Briones Ávalos;45;4;127-35-1785;M;50;Glasgow
Sra. Francisca Bonilla Perales;67;8;235-84-9480;F;0;Bristol
Hernán Zamora Rivero;14;1;789-86-4751;M;80;Glasgow
Rebeca Armas Mares;13;10;484-98-7477;F;100;Liverpool
Federico Anguiano Cardenas;34;6;111-40-8390;F;0;Bristol
Sra. Patricio Tamayo Abrego;13;5;698-02-1878;F;80;Oxford
Carmen Jimínez Montalvo;79;2;380-79-9692;M;80;Glasgow
Eduardo Moya Archuleta;18;10;524-22-5599;M;80;Oxford
Sra. Lola Tapia Lerma;1;2;239-12-3651;F;0;London
Sra. Marilu Roque Benavides;18;9;782-27-8563;M;100;Oxford
Arturo Moya Alba;89;10;841-67-2567;M;0;London
Sta. Gustavo Mesa Ávalos;36;5;778-11-5971;F;50;Bristol
María Teresa Meza Casares;2;8;800-64-0464;M;80;Liverpool
José Luis Olivo Alicea;33;6;196-58-0413;F;100;Oxford
Nicolás Alejandro Urrutia;1;8;554-29-2295;M;80;Bristol
José María Franco Amador;9;10;247-46-1856;F;0;Oxford
Sr. María Teresa Delgado Valdivia;64;5;459-23-2146;F;100;Liverpool
Carlos Nevárez Garica;72;1;316-32-6287;F;100;Glasgow
Salvador Marrero Leyva;7;6;603-22-5388;F;80;Liverpool
Eduardo Alcala Salas;7;4;590-54-3076;F;100;London
Sta. Clara Acosta Luevano;10;10;487-23-6945;M;50;Glasgow
Marisol Cardona Granado;73;1;508-81-1248;M;0;London
Caridad Archuleta Villagómez;73;10;144-88-4693;M;100;Liverpool
Sr. Sara Reséndez Guerra;33;4;753-92-9311;M;50;London
Magdalena Camarillo Delao;20;5;143-86-9695;F;50;Bristol
Andrea Ortega Quintana;48;8;794-53-6844;F;100;Liverpool
Lucia Batista Castañeda;45;8;518-16-8672;F;0;Oxford
Dolores Arteaga Menchaca;24;10;785-84-0689;M;50;Liverpool
Miguel Cardona Cotto;59;8;207-85-3770;F;100;Bristol
Yolanda Bravo Santillán;12;10;307-31-1770;M;80;Oxford
Lilia Paz Altamirano;34;3;185-38-0794;F;100;Oxford
Sra. Olivia Ballesteros Maya;70;7;462-59-1978;M;50;Bristol
Jorge Acosta Torres;47;4;461-85-7027;M;100;Liverpool
Florencia Bonilla Huerta;21;10;789-11-2013;M;100;Bristol
Rubén Dueñas Garica;55;1;876-78-8029;M;50;London
Jaime Roybal Carbajal;4;7;467-18-2777;M;100;Oxford
Sr. Gonzalo Delrío Vaca;31;3;441-45-7001;M;0;Liverpool
Lorena Fuentes Preciado;68;10;661-75-5075;F;100;Liverpool
Lorenzo Delrío Cordero;84;9;849-45-6732;F;0;Bristol
Patricia Zamudio Casas;8;8;861-47-4706;F;80;Oxford
Miguel Ángel Miramontes Treviño;44;7;174-16-7664;F;50;Liverpool
Sra. Cecilia Nevárez Alarcón;49;4;222-43-9928;F;80;Oxford
Caridad Vélez Tórrez;52;1;595-31-2977;M;50;Oxford
Cristobal Orellana Dueñas;26;2;151-17-9970;M;50;Oxford
Teodoro Delatorre Barela;53;4;334-57-6197;F;100;Oxford
Jacobo Zambrano Caraballo;49;5;037-53-0213;F;100;Bristol
Sta. Guadalupe Moreno Vanegas;32;10;863-92-8086;M;0;Oxford
Enrique Barrios Fierro;61;2;505-67-6452;M;0;Bristol
Mariana Valle Saldaña;74;1;511-75-2434;M;0;Glasgow
Sra. Alfonso Figueroa Ochoa;60;6;738-02-0255;M;0;Liverpool
María José Jimínez Escamilla;18;10;703-46-2146;F;50;Bristol
Sara Ortega Castellanos;21;4;367-35-2660;M;100;Oxford
Marcos Villegas Olivo;54;9;294-87-2315;M;80;London
Lilia Farías Franco;14;4;896-40-3823;M;100;London
Micaela Ibarra Casares;90;3;341-22-7461;F;0;Bristol
Irene Almaraz Longoria;39;1;383-22-2545;F;100;Bristol
Marta Rascón García;3;7;817-27-3299;F;80;Bristol
Gregorio Salcido Quiñones;34;10;823-03-0594;M;100;London
Sra. Gloria Valladares Solano;53;6;732-12-2989;F;100;London
Esteban Corrales Varela;8;6;752-39-4842;F;0;Bristol
Agustín Casares Medina;66;10;238-75-7198;F;0;London
Marcela Alcaraz Olivárez;40;5;488-25-5002;F;0;London
Ramiro Lugo Ochoa;27;2;556-12-4115;F;0;Glasgow
Raúl Perales Colunga;7;10;745-10-6819;F;80;Bristol
Blanca Valadez Mascareñas;52;3;349-56-1843;M;0;Glasgow
Bernardo Bahena Vera;7;8;614-09-0802;M;50;Bristol
Diego Dueñas Fonseca;10;8;246-80-8190;M;50;Liverpool
Germán Enríquez Ocasio;5;4;515-07-6306;M;100;Oxford
Sr. Alejandra Mares Meza;36;7;754-23-7097;F;80;Liverpool
Sr. Ester Almaraz Rincón;88;3;281-70-6820;F;80;Glasgow
Antonia Varela Alonso;5;9;342-11-8323;F;0;London
Claudia Ybarra Pedroza;55;9;690-15-1628;F;80;Liverpool
Sta. Catalina Banda Tafoya;76;3;496-74-3785;F;100;Glasgow
Sta. Cristian Agosto Samaniego;24;2;066-30-9887;M;50;Glasgow
Mónica Pelayo Ruelas;29;1;792-81-2663;M;50;Oxford
Marco Antonio Urías Murillo;4;9;480-87-1670;M;0;Bristol
Óscar Frías Ordóñez;86;4;642-24-8190;F;80;London
Sra. Rosalia Robledo Rivera;16;5;226-65-7136;F;50;Oxford
Rubén Cadena Alanis;31;5;288-21-3350;M;50;Glasgow
Mateo Bonilla Armas;77;2;627-64-2868;M;0;Liverpool
Rubén Bermúdez Miramontes;33;3;253-44-8412;F;0;London
Lorenzo Matos Chavarría;50;6;343-85-9590;F;50;Bristol
Sr. Olivia Escamilla Enríquez;9;10;132-45-8843;F;80;Glasgow
Sofia Espinal Caraballo;54;9;520-85-4380;F;100;Liverpool
Sr. Inés Mata Valenzuela;24;9;497-23-9121;F;50;London
Elena Ordóñez Guerrero;86;10;239-18-7166;F;50;Oxford
Carmen Tijerina Sepúlveda;13;6;549-48-0367;F;0;Glasgow
Marilu Niño Palomino;5;1;362-35-7554;M;0;Liverpool
Ana Montañez Saldivar;18;3;285-81-1706;M;0;London
Isabela Marrero Casanova;28;3;376-56-4333;M;100;Liverpool
Amalia Dueñas Jasso;11;10;399-01-8405;F;100;Glasgow
Elsa Gómez Cabrera;22;2;453-70-7007;M;80;Oxford
Ana Luisa Mascareñas Jasso;43;1;760-62-5304;F;100;London
